PID,CID,BID,Country,Image,English Title,English Body,Target Gender,Age min,Age max,Target city
2,401,120,BR,br_revised_female_15.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,121,BR,br_revised_female_16.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,122,BR,br_revised_female_17.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,123,BR,br_revised_female_18.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,124,BR,br_revised_female_19.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,125,BR,br_revised_female_20.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,401,126,BR,br_revised_female_21.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,18,25,
2,402,106,BR,br_revised_female_01.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,107,BR,br_revised_female_02.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,108,BR,br_revised_female_03.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,109,BR,br_revised_female_04.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,110,BR,br_revised_female_05.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,111,BR,br_revised_female_06.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
2,402,112,BR,br_revised_female_07.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,26,30,
